,0,1,2,3,4,5,6,7,8,9,label
977,1,0,0.079000939,0.027929255,0.033274739,0.086936133,0.028875142,0.040044072,0.050966127,0.039711637,0
983,1,0,0.077997615,0.027552686,0.032256154,0.0855029,0.028521905,0.038302809,0.050197181,0.035229538,0
1037,1,0,0.077996339,0.027547221,0.032255152,0.085498107,0.028516117,0.038269638,0.050195176,0.03523724,0
1039,1,0,0.078191318,0.027613736,0.032335966,0.085704029,0.028589793,0.038385346,0.050315937,0.037687737,0
1060,1,0,0.077957007,0.027534437,0.032240267,0.085458462,0.028506213,0.038251967,0.050171997,0.034759144,0
1063,1,0,0.078975799,0.027933708,0.032660704,0.098680159,0.028922421,0.038752128,0.050827817,0.036087641,0
1088,1,0,0.078594403,0.027759513,0.032502125,0.086171974,0.028742277,0.038565925,0.050579551,0.043133607,0
1090,1,0,0.07796368,0.027536808,0.03224304,0.085474615,0.028504655,0.03825652,0.050176326,0.034841713,0
1099,1,0,0.078029326,0.027537284,0.032243574,0.085476895,0.028511507,0.038256166,0.050201604,0.034764221,0
1103,1,0,0.080685629,0.028532203,0.033368228,0.088585139,0.030394173,0.039590624,0.051927836,0.069924576,0
1112,0.392012669,0,0.122478311,0.041773152,0.310678631,0.134402495,0.043342973,1,0.077973797,0.053382651,0
1116,1,0,0.082734082,0.029195149,0.034187669,0.090670628,0.030232293,0.057534227,0.053655628,0.079543434,0
1118,1,0,0.080018952,0.028262828,0.033122193,0.087735954,0.029255301,0.065063901,0.051707964,0.036054686,0
1121,1,0,0.121657093,0.042938862,0.056828775,0.188428382,0.057049346,0.521125648,0.077670221,0.061229364,0
1145,1,0,0.081957735,0.028032072,0.032775396,0.087272741,0.02920684,0.039086494,0.05100924,0.048674706,0
1157,1,0,0.077972027,0.027536146,0.032242208,0.085466074,0.02855505,0.03825429,0.050175541,0.034760789,0
1171,1,0,0.077960129,0.027534802,0.032240687,0.085459586,0.028511338,0.03825248,0.050172614,0.034765921,0
1202,1,0,0.08673282,0.030631827,0.035864052,0.095243112,0.031711734,0.042818133,0.055829236,0.150575617,0
1224,1,0,0.077978215,0.027542541,0.032248905,0.085497366,0.028764626,0.038262271,0.050185789,0.034774983,0
1231,1,0,0.077992843,0.027546952,0.032254903,0.085942464,0.028515009,0.038282075,0.050194909,0.034774497,0
1278,1,0,0.077956778,0.027534378,0.032240178,0.085459395,0.028501961,0.038252448,0.050171869,0.034758423,0
1279,1,0,0.078012314,0.027549809,0.032259654,0.085506538,0.028524307,0.038309195,0.050199955,0.035282426,0
1281,1,0,0.078002322,0.027550395,0.032258926,0.085531554,0.029029588,0.038274243,0.050201035,0.034827236,0
1292,1,0,0.079386976,0.029227419,0.032797769,0.102149063,0.0290231,0.038918443,0.051416304,0.035896942,0
1312,1,0,0.07795688,0.027534393,0.032240215,0.085458323,0.028502003,0.03825191,0.050171906,0.034761493,0
1348,1,0,0.078042689,0.027564709,0.032275704,0.08555274,0.029628854,0.038294004,0.050227134,0.034804384,0
1372,0.010500853,0,0.076593775,0.02705295,0.03167648,0.08398481,1,0.037583063,0.049294653,0.03415059,0
1381,1,0,0.088909407,0.031400228,0.036820765,0.099576215,0.032525918,0.043631076,0.067250124,0.167786617,0
1404,1,0,0.0779574,0.027534601,0.032240418,0.08546738,0.028502192,0.038252208,0.050172255,0.034760152,0
1405,1,0,0.07797205,0.027539563,0.032246202,0.085476783,0.02863262,0.038259023,0.050181314,0.034825125,0
1407,1,0,0.07808928,0.027579279,0.032292623,0.085697612,0.030013895,0.038314101,0.050253538,0.034871842,0
